epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,2335.78,1.12824,0.6501,1.22708,0.77575,0.84358,0.86875,0.51806,1.14669,0.45563,1.31389,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
66,2371.76,1.12152,0.64365,1.22771,0.88402,0.74828,0.8815,0.50032,1.13817,0.42991,1.3129,0.0291956,0.00973187,0.0291956,0.00973187,0.0291956,0.00973187,0.0291956,0.00973187
67,2407.69,1.13909,0.65701,1.23245,0.84503,0.8071,0.86051,0.55782,1.16462,0.43662,1.32385,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
68,2443.6,1.12288,0.64643,1.23128,0.79766,0.8653,0.86424,0.52558,1.11727,0.42478,1.30846,0.0291709,0.00972362,0.0291709,0.00972362,0.0291709,0.00972362,0.0291709,0.00972362
69,2479.66,1.1282,0.65973,1.23343,0.72985,0.84644,0.85533,0.49193,1.15645,0.4396,1.33313,0.0291585,0.0097195,0.0291585,0.0097195,0.0291585,0.0097195,0.0291585,0.0097195
70,2515.68,1.1317,0.64395,1.22758,0.72324,0.61151,0.63149,0.36515,1.15871,0.45011,1.32435,0.0291461,0.00971538,0.0291461,0.00971538,0.0291461,0.00971538,0.0291461,0.00971538
71,2551.52,1.11837,0.64525,1.22612,0.76244,0.7922,0.79014,0.46975,1.13395,0.41254,1.30846,0.0291337,0.00971125,0.0291337,0.00971125,0.0291337,0.00971125,0.0291337,0.00971125
72,2587.45,1.12995,0.63811,1.23263,0.77428,0.90267,0.88337,0.52401,1.14048,0.42365,1.31635,0.0291214,0.00970713,0.0291214,0.00970713,0.0291214,0.00970713,0.0291214,0.00970713
73,2623.44,1.10737,0.63999,1.22911,0.83867,0.72246,0.82278,0.50349,1.17697,0.44165,1.3248,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
74,2659.28,1.12054,0.63262,1.21339,0.81401,0.71638,0.86408,0.53783,1.16536,0.44694,1.31972,0.0290966,0.00969888,0.0290966,0.00969888,0.0290966,0.00969888,0.0290966,0.00969888
75,2695.18,1.117,0.64972,1.22452,0.60814,0.77723,0.80468,0.51916,1.12127,0.41161,1.29512,0.0290842,0.00969475,0.0290842,0.00969475,0.0290842,0.00969475,0.0290842,0.00969475
76,2731.02,1.10697,0.64863,1.22431,0.69724,0.82083,0.84427,0.51804,1.1363,0.4336,1.30801,0.0290719,0.00969063,0.0290719,0.00969063,0.0290719,0.00969063,0.0290719,0.00969063
77,2767.15,1.10955,0.6465,1.22492,0.74814,0.85,0.85363,0.51293,1.13268,0.41894,1.30519,0.0290595,0.0096865,0.0290595,0.0096865,0.0290595,0.0096865,0.0290595,0.0096865
78,2803.06,1.11494,0.64472,1.23462,0.76512,0.76215,0.82749,0.51902,1.14569,0.41481,1.328,0.0290471,0.00968238,0.0290471,0.00968238,0.0290471,0.00968238,0.0290471,0.00968238
79,2838.98,1.11564,0.63638,1.21912,0.73438,0.81712,0.84893,0.53389,1.12168,0.41913,1.28854,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
80,2874.92,1.10498,0.64042,1.21646,0.707,0.84688,0.81527,0.4616,1.13734,0.41748,1.30875,0.0290224,0.00967413,0.0290224,0.00967413,0.0290224,0.00967413,0.0290224,0.00967413
81,2910.95,1.10734,0.62802,1.21206,0.80076,0.7877,0.77478,0.49497,1.15751,0.44774,1.3283,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
82,2946.88,1.10178,0.63974,1.21547,0.74856,0.78908,0.84624,0.50966,1.14208,0.4204,1.30603,0.0289976,0.00966588,0.0289976,0.00966588,0.0289976,0.00966588,0.0289976,0.00966588
83,2982.83,1.10784,0.63342,1.21946,0.81215,0.80127,0.83663,0.54619,1.12912,0.40676,1.30908,0.0289853,0.00966175,0.0289853,0.00966175,0.0289853,0.00966175,0.0289853,0.00966175
84,3018.81,1.10398,0.61429,1.21952,0.82493,0.76563,0.83098,0.51346,1.137,0.442,1.30874,0.0289729,0.00965763,0.0289729,0.00965763,0.0289729,0.00965763,0.0289729,0.00965763
85,3054.85,1.10825,0.63916,1.22572,0.81274,0.74583,0.83274,0.5021,1.13206,0.43282,1.31142,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
86,3090.93,1.10581,0.62592,1.21924,0.86396,0.75482,0.86491,0.52838,1.12182,0.42163,1.29418,0.0289481,0.00964937,0.0289481,0.00964937,0.0289481,0.00964937,0.0289481,0.00964937
87,3126.84,1.0993,0.62915,1.22016,0.76969,0.81748,0.83138,0.47639,1.13041,0.41691,1.30194,0.0289357,0.00964525,0.0289357,0.00964525,0.0289357,0.00964525,0.0289357,0.00964525
88,3162.75,1.10104,0.62138,1.20973,0.83222,0.77491,0.86975,0.48005,1.20813,0.44922,1.34893,0.0289234,0.00964113,0.0289234,0.00964113,0.0289234,0.00964113,0.0289234,0.00964113
89,3198.81,1.10317,0.62531,1.21489,0.88948,0.85887,0.91363,0.56088,1.12685,0.41544,1.30485,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
90,3234.76,1.09223,0.61373,1.21202,0.68518,0.74632,0.82028,0.50721,1.12912,0.43797,1.30476,0.0288986,0.00963287,0.0288986,0.00963287,0.0288986,0.00963287,0.0288986,0.00963287
91,3270.8,1.09371,0.62099,1.21038,0.74115,0.9,0.85019,0.52516,1.11228,0.42359,1.30819,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
92,3306.68,1.0964,0.61519,1.2086,0.88309,0.76208,0.84441,0.53798,1.12499,0.42079,1.30777,0.0288739,0.00962462,0.0288739,0.00962462,0.0288739,0.00962462,0.0288739,0.00962462
93,3342.76,1.08856,0.61707,1.21421,0.81675,0.77066,0.80629,0.51235,1.13925,0.42409,1.31433,0.0288615,0.0096205,0.0288615,0.0096205,0.0288615,0.0096205,0.0288615,0.0096205
94,3378.73,1.09318,0.62143,1.21298,0.79525,0.78662,0.86363,0.54122,1.11778,0.40601,1.30291,0.0288491,0.00961637,0.0288491,0.00961637,0.0288491,0.00961637,0.0288491,0.00961637
95,3414.71,1.08627,0.61301,1.20612,0.80482,0.78333,0.85626,0.51573,1.13363,0.42006,1.31523,0.0288367,0.00961225,0.0288367,0.00961225,0.0288367,0.00961225,0.0288367,0.00961225
96,3450.6,1.09449,0.61118,1.20386,0.72679,0.87242,0.85984,0.48713,1.11574,0.43026,1.30125,0.0288244,0.00960813,0.0288244,0.00960813,0.0288244,0.00960813,0.0288244,0.00960813
